iso_code,location,max_vax_pct,max_fully_pct,n_vax_days,wgm_year,wgm_agree_safe,wgm_hesitant_safe,wgm_disagree_safe,wgm_disagree_effective,wgm_2019_agree,wgm_2019_hesitant,wgm_2023_agree,wgm_2023_hesitant,dtp3_2019,gdp_2019,log_gdp,hesitancy_change
CHE,Switzerland,69.75,,925,2023.0,68.0,32.0,28.0,24.0,,,68.0,32.0,96.0,84121.9310304414,11.340022585216989,
CHL,Chile,92.27,90.29,1101,2023.0,70.0,30.0,23.0,20.0,,,70.0,30.0,96.0,14495.716721687,9.581608486265589,
CHN,China,91.89,89.54,787,2021.0,95.0,5.0,4.0,2.0,,,,,99.0,10342.9009524335,9.244055665042044,
CIV,Cote d'Ivoire,48.18,43.2,721,2024.0,88.0,12.0,10.0,8.0,,,79.42909,20.570909999999998,79.0,2141.76836170115,7.669387104030772,
CMR,Cameroon,13.45,11.45,918,2023.0,52.0,48.0,32.0,32.0,,,52.0,48.0,67.0,1555.22660476477,7.3493765405330835,
COD,Democratic Republic of Congo,17.22,14.54,778,2023.0,76.0,24.0,19.0,16.0,,,76.0,24.0,73.0,504.00419142286,6.222584584351987,
COG,Congo,11.65,10.96,474,,,,,,,,,,79.0,2488.42466724916,7.819405125487231,
COK,Cook Islands,88.73,86.47,630,,,,,,,,,,98.0,,,
COL,Colombia,82.92,71.72,1046,2024.0,80.0,20.0,14.0,11.0,92.16711,7.832890000000006,71.0,29.0,94.0,6472.54544924705,8.77532473350093,21.167109999999994
COM,Comoros,52.44,47.45,530,,,,,,,,,,78.0,1510.23218151592,7.320018680582039,
CPV,Cape Verde,60.14,52.05,557,,,,,,,,,,96.0,4380.78117331128,8.384982337539077,
CRI,Costa Rica,89.77,84.35,1017,,,,,,,,,,95.0,12884.6859951989,9.463794752995097,
CUB,Cuba,96.37,89.67,1067,,,,,,,,,,99.0,9232.26115935183,9.130459276839085,
CUW,Curacao,56.81,52.77,775,,,,,,,,,,,19220.6865793075,9.863742404014646,
CYM,Cayman Islands,90.38,88.32,1099,,,,,,,,,,,88254.2902486867,11.387977588329882,
CYP,Cyprus,74.91,72.11,778,2022.0,82.07172,17.92828,17.131475,15.139442,,,,,96.0,29227.173828125,10.282854166059058,
CZE,Czechia,66.53,65.71,1313,2022.0,70.5,29.5,24.8,21.1,84.88489,15.115110000000001,,,97.0,24062.7190013343,10.088418992342875,
DEU,Germany,77.82,76.24,832,2023.0,71.0,29.0,22.0,21.0,83.26489,16.735110000000006,71.0,29.0,91.0,47656.199739747,10.771768010581992,12.264889999999994
DJI,Djibouti,37.61,35.79,905,,,,,,,,,,85.0,2837.16902340932,7.950562011253851,
DMA,Dominica,45.35,42.14,604,,,,,,,,,,99.0,9491.14995962374,9.158115060197826,
DNK,Denmark,80.69,80.11,1016,2023.0,77.0,23.0,15.0,13.0,,,77.0,23.0,97.0,59404.2663247723,10.992121326420907,
DOM,Dominican Republic,65.61,54.6,1047,,,,,,,,,,89.0,8183.01623600375,9.009816094639277,
DZA,Algeria,17.46,14.43,584,2015.0,88.0,12.0,4.0,8.0,,,,,88.0,4468.45341883656,8.404797636427078,
ECU,Ecuador,85.18,79.11,801,2020.0,81.0,19.0,11.0,10.0,94.19795,5.802049999999994,,,85.0,6205.05765246766,8.733119988887672,
EGY,Egypt,51.27,38.15,848,2023.0,81.0,19.0,16.0,15.0,,,81.0,19.0,95.0,2962.98892023003,7.993953808190951,
ESP,Spain,86.95,85.66,871,2023.0,78.0,22.0,17.0,15.0,91.19912,8.800880000000006,78.0,22.0,95.0,29786.5245689007,10.301811374547727,13.199119999999994
EST,Estonia,65.62,65.06,1325,2023.0,61.0,39.0,31.0,21.0,,,61.0,39.0,91.0,,,
ETH,Ethiopia,42.54,35.38,781,2023.0,94.0,6.0,6.0,4.0,,,94.0,6.0,61.0,,,
FIN,Finland,81.65,78.46,1102,2023.0,77.0,23.0,17.0,14.0,95.76803,4.231970000000004,77.0,23.0,91.0,,,18.768029999999996
FJI,Fiji,76.58,68.96,776,2022.0,85.0,15.0,14.0,18.0,,,,,97.0,,,
FLK,Falkland Islands,69.24,46.7,67,,,,,,,,,,,,,
FRA,France,80.63,78.44,926,2023.0,63.50746,36.49254,29.487562,23.99005,72.916664,27.083336000000003,63.50746,36.49254,95.0,,,9.409203999999995
FRO,Faeroe Islands,78.53,76.99,386,,,,,,,,,,,,,
GAB,Gabon,13.03,10.78,686,2020.0,68.0,32.0,25.0,24.0,,,,,70.0,,,
GEO,Georgia,44.19,34.08,579,2023.0,65.0,35.0,27.000002,24.0,,,65.0,35.0,94.0,,,
GGY,Guernsey,85.62,83.23,695,,,,,,,,,,,,,
GHA,Ghana,41.42,32.2,854,2024.0,84.0,16.0,14.0,14.0,,,79.291214,20.708786000000003,97.0,,,
GIB,Gibraltar,129.07,126.89,706,,,,,,,,,,,,,
GIN,Guinea,62.89,42.24,920,,,,,,,,,,53.0,,,
